Pincode,Latitude,Longitude,State,District,Matched_District,Population,Literate,Nightlight_Mean_Radiance,Total_Deposits_Recent,TRAI_Tele_Density_2026,Final_Prosperity_Index
625601,9.8902,77.4394,Tamil Nadu,Theni,theni,1245899.0,870080.0,0.9090466643032964,9646.5868,107.98,8.843471219262309
805141,24.8905,85.675,Bihar,Nawada,nawada,2219146.0,1091012.0,1.3976164693870583,8346.3778,63.79,11.78845750642841
501301,17.373176923076922,78.46704615384616,Telangana,Hyderabad,hyderabad,3943323.0,2892155.0,44.3772037934492,513575.6735,102.27,54.36852208514106
678553,10.8329,76.4992,Kerala,Palakkad,palakkad,2809934.0,2239492.0,1.1514940578834456,50423.5414,123.36,21.77037896637125
624001,10.3315,78.1048,Tamil Nadu,Dindigul,dindigul,2159775.0,1481834.0,1.247218964386602,17965.9365,107.98,14.896985667169616
814141,24.3287,87.24055,Jharkhand,Dumka,dumka,1321442.0,672409.0,0.8449548895376836,7507.9164,63.79,6.817688330148264
123001,28.07990714285714,76.06120714285714,Haryana,Mahendragarh,mahendragarh,922088.0,630255.0,1.6754426817963088,12181.3526,90.66,6.525541102662846
607802,11.571245454545457,79.54306363636364,Tamil Nadu,Cuddalore,cuddalore,2605914.0,1815281.0,1.8100904773071351,21224.676,107.98,18.115178312692546
680590,10.7233,76.3188,Kerala,Thrissur,thrissur,3121200.0,2678548.0,1.7147136046910294,120324.0362,123.36,26.91686530000141
231305,25.05098666666667,82.70158666666666,Uttar Pradesh,Mirzapur,mirzapur,2496970.0,1428683.0,1.613422194148272,14558.8786,71.86,14.698870316672707
695561,8.6881,76.9398,Kerala,Thiruvananthapuram,thiruvananthapuram,3301427.0,2785408.0,2.8259020295554675,142584.3414,123.36,28.954707030195852
641013,11.0179,76.9693,Tamil Nadu,Coimbatore,coimbatore,3458045.0,2635907.0,2.5553364256788633,142292.5822,107.98,28.225837536137387
275102,25.99725,83.54888333333334,Uttar Pradesh,Mau,mau,2205968.0,1363044.0,2.7013182045289374,13930.4367,71.86,13.799116877082513
670105,12.0006,75.5262,Kerala,Kannur,kannur,2523003.0,2138434.0,1.0458236397119511,56943.5345,123.36,20.545088259348802
224204,26.668394736842107,82.15552631578949,Uttar Pradesh,Faizabad,faizabad,2470996.0,1450901.0,2.2548232892967732,,71.86,14.998506297078098
689108,9.2841,76.929,Kerala,Pathanamthitta,pathanamthitta,1197412.0,1062553.0,1.0545209045976345,74114.992,123.36,11.874064081843585
713362,23.4278,87.7677,West Bengal,Purba Bardhaman,barddhaman,7717563.0,5247208.0,2.6711367350091053,,83.54,49.576873549703265
